Date,Total CLI - Daily,Total ED Visits - Daily,CLI Count - 7 day average,CLI Percent - Daily,CLI Percent - 7 day average,Total COVID - Daily,COVID Count - 7 day average,COVID Percent - Daily,COVID Percent - 7 day average
10/03/2020,71,2246,67,0.0,0.0,45,39,0.0,0.0
03/04/2020,96,3660,,0.0,,0,,0.0,
03/01/2022,,2916,,,,14,18,0.0,0.0
12/26/2020,147,2240,139,0.1,0.1,129,126,0.1,0.1
07/03/2020,81,2520,66,0.0,0.0,56,40,0.0,0.0
06/28/2021,,3415,30,,0.0,16,8,0.0,0.0
09/13/2020,41,2415,54,0.0,0.0,32,33,0.0,0.0
11/13/2021,,2601,,,,63,64,0.0,0.0
01/04/2022,,3198,,,,530,549,0.2,0.2
01/29/2022,,2277,,,,62,88,0.0,0.0
04/22/2020,264,2107,263,0.1,0.1,174,176,0.1,0.1
03/14/2022,,3360,,,,16,14,0.0,0.0
05/21/2020,208,2374,215,0.1,0.1,169,166,0.1,0.1
05/05/2021,118,3061,129,0.0,0.0,103,112,0.0,0.0
05/10/2020,180,1809,257,0.1,0.1,151,206,0.1,0.1
09/05/2020,52,2594,63,0.0,0.0,35,37,0.0,0.0
05/26/2021,84,3084,82,0.0,0.0,63,61,0.0,0.0
03/15/2020,137,3006,132,0.0,0.0,0,1,0.0,0.0
10/18/2020,71,2323,77,0.0,0.0,60,57,0.0,0.0
05/22/2020,180,2402,207,0.1,0.1,142,161,0.1,0.1
04/23/2020,300,2157,270,0.1,0.1,198,181,0.1,0.1
09/27/2020,66,2524,63,0.0,0.0,39,33,0.0,0.0
04/04/2021,119,2422,114,0.0,0.0,102,98,0.0,0.0
10/20/2020,110,2662,84,0.0,0.0,82,64,0.0,0.0
10/06/2020,86,2778,74,0.0,0.0,49,43,0.0,0.0
01/16/2022,,2334,,,,217,276,0.1,0.1
02/17/2021,60,2393,54,0.0,0.0,58,47,0.0,0.0
01/30/2021,66,2117,88,0.0,0.0,60,76,0.0,0.0
01/06/2021,110,2554,133,0.0,0.1,102,119,0.0,0.1
11/03/2020,222,2755,170,0.1,0.1,188,145,0.1,0.1
10/10/2020,73,2586,80,0.0,0.0,45,47,0.0,0.0
03/20/2021,64,2402,68,0.0,0.0,51,51,0.0,0.0
08/30/2020,77,2531,74,0.0,0.0,43,45,0.0,0.0
05/07/2020,284,2317,283,0.1,0.1,223,220,0.1,0.1
07/18/2021,,2912,,,,22,20,0.0,0.0
08/17/2021,,3422,,,,85,82,0.0,0.0
03/13/2021,40,2315,49,0.0,0.0,30,38,0.0,0.0
