Ward,Precinct,Submission Date,Comment Period End Date,Ordinance Introduction Date,Ordinance Effective Date,Scope of Restriction,Enacting Ordinance,Repeal Submission Date,Repeal Comment Period End Date,Repeal Ordinance Introduction Date,Repeal Ordinance Effective Date,Repeal Ordinance
13,9,04/23/2018,05/23/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270664&GUID=6B53E3EA-9D29-4C0E-A54D-16190CCA3661,,,,,
13,21,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,25,10/17/2019,11/17/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7909786&GUID=66A8B832-102B-483F-B2D8-9BA1F5043B75,,,,,
13,2,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,45,04/20/2017,05/20/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P45.pdf,,,,,
13,36,10/17/2019,11/17/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7909784&GUID=9DC5028F-0649-408E-8794-A7C3CD59B0B9,,,,,
23,28,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,24,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760028&GUID=883338F3-00E2-4D41-AA80-6AF0373FE4BB,,,,,
13,22,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,3,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760020&GUID=DF4A8DE8-4FB8-431C-A41B-25AAE28B48EB,,,,,
41,14,04/02/2021,05/02/2021,05/26/2021,07/21/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964077&GUID=189178F4-7988-4605-8BFA-1A3A9F8F75D1&Options=Advanced&Search=,,,,,
13,41,08/13/2018,09/12/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635741&GUID=B1FD137E-3F90-4391-8CD0-1592534B750A,,,,,
13,32,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
23,29,07/18/2017,08/17/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P29.pdf,,,,,
23,28,07/18/2017,08/17/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P28.pdf,,,,,
23,30,02/18/2020,03/18/2020,07/22/2020,09/09/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8681836&GUID=CDDAAF0E-5C1A-4CCE-A056-0475D11E2455,,,,,
13,47,09/29/2018,10/29/2018,11/14/2018,03/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6779784&GUID=49B55321-9E95-4BD4-8B29-76E099A9E6C4,,,,,
13,42,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,28,07/27/2018,08/26/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635771&GUID=928BDAB2-A8F3-4667-9884-68B421D2E72F,,,,,
13,26,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
23,10,02/18/2020,03/18/2020,07/22/2020,09/09/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8681838&GUID=BF74E34D-103F-4974-9E18-B75DD4520367,,,,,
