,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JE178371,03/23/2021 06:28:00 PM,095XX S CONSTANCE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,431,7.0,08A,1190183,1842108,41.721773858,-87.578984755,"(41.721773858, -87.578984755)",51
1,JE239576,05/23/2021 04:50:00 AM,028XX W LOGAN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1414,32.0,08B,1157053,1917160,41.928458385,-87.69830274200001,"(41.928458385, -87.698302742)",22
2,JE177564,03/23/2021 11:25:00 AM,005XX N Michigan Ave,0810,THEFT,OVER $500,SIDEWALK,N,N,1834,42.0,06,1177337,1904039,41.892017399000004,-87.62416530600001,"(41.892017399, -87.624165306)",8
3,JE177847,03/23/2021 08:00:00 PM,105XX S INDIANAPOLIS AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,432,10.0,06,1204873,1835598,41.703544122,-87.52540286799999,"(41.703544122, -87.525402868)",52
4,JF163814,02/07/2022 12:00:00 AM,018XX N KARLOV AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2534,35.0,26,1148759,1911948,41.914320689,-87.72891552200001,"(41.914320689, -87.728915522)",20
5,JE177294,03/23/2021 12:05:00 PM,029XX N CLYBOURN AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,1931,32.0,08A,1161568,1919514,41.934824952,-87.681645924,"(41.934824952, -87.681645924)",5
6,JF119226,01/20/2022 07:00:00 PM,016XX S JEFFERSON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,1235,11.0,14,1172595,1892211,41.859666796,-87.641930358,"(41.859666796, -87.641930358)",31
7,JE177345,03/23/2021 04:00:00 AM,054XX S WELLS ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,935,3.0,03,1175527,1869022,41.795968923000004,-87.631862952,"(41.795968923, -87.631862952)",37
8,JE177931,03/23/2021 11:58:00 PM,010XX W 76TH ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,612,17.0,08B,1170514,1854419,41.756007313000005,-87.65067094700001,"(41.756007313, -87.650670947)",71
9,JE176660,03/22/2021 06:44:00 PM,071XX S JEFFERY BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,333,5.0,04A,1190784,1857880,41.765039197,-87.57627519,"(41.765039197, -87.57627519)",43
10,JE180703,03/23/2021 12:00:00 PM,033XX W 60TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,823,23.0,11,1155111,1864638,41.784371358,-87.706847149,"(41.784371358, -87.706847149)",66
11,JE269932,06/17/2021 09:19:00 PM,007XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,1134,24.0,08B,1155142,1896747,41.872481878,-87.70587365899999,"(41.872481878, -87.705873659)",27
12,JE240467,05/23/2021 07:48:00 PM,076XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,624,6.0,14,1180565,1854540,41.756114587,-87.61383279100001,"(41.756114587, -87.613832791)",69
13,JE241990,05/23/2021 10:00:00 PM,093XX S LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2221,19.0,14,1163335,1842723,41.724065015,-87.67730722299999,"(41.724065015, -87.677307223)",72
14,JE244562,05/23/2021 03:00:00 AM,023XX E 69TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,331,5.0,14,1192743,1859662,41.7698816,-87.569036976,"(41.7698816, -87.569036976)",43
15,JE239605,05/23/2021 04:25:00 AM,076XX N ASHLAND AVE,0810,THEFT,OVER $500,SIDEWALK,N,N,2422,49.0,06,1164298,1950860,42.020782101,-87.670722056,"(42.020782101, -87.670722056)",1
16,JE240763,05/23/2021 11:59:00 PM,021XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,132,3.0,07,1177977,1890072,41.853676611,-87.622239838,"(41.853676611, -87.622239838)",33
17,JE268209,04/11/2021 07:11:00 AM,0000X E ROOSEVELT RD,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,CTA TRAIN,N,N,123,4.0,14,1176818,1895074,41.867428687,-87.626342565,"(41.867428687, -87.626342565)",32
18,JE239943,05/23/2021 12:25:00 PM,013XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,1424,1.0,06,1164565,1909105,41.906198962,-87.670927395,"(41.906198962, -87.670927395)",24
19,JE176956,03/23/2021 02:09:00 AM,049XX N MILWAUKEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,Y,Y,1623,45.0,08B,1139431,1932207,41.97008868,-87.76269009100001,"(41.97008868, -87.762690091)",11
20,JE177806,03/23/2021 08:15:00 PM,114XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,N,Y,2234,34.0,14,1166225,1828791,41.6857724,-87.667116025,"(41.6857724, -87.667116025)",75
21,JE176924,03/23/2021 12:07:00 AM,047XX N KEATING AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,N,N,1722,39.0,14,1143839,1931149,41.967103734,-87.746508119,"(41.967103734, -87.746508119)",16
22,JE178309,03/23/2021 12:00:00 PM,019XX S HAMLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1014,24.0,14,1151361,1890165,41.854495111,-87.71992814299999,"(41.854495111, -87.719928143)",29
23,JE177868,03/23/2021 09:40:00 PM,001XX N ELIZABETH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1224,27.0,14,1167916,1901321,41.88476747,-87.65884275,"(41.88476747, -87.65884275)",28
24,JE178242,03/23/2021 01:30:00 PM,072XX S YALE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,731,6.0,11,1175876,1856980,41.76291656,-87.63094384899999,"(41.76291656, -87.630943849)",69
25,JE177768,03/23/2021 06:53:00 PM,0000X N HOMAN BLVD,2027,NARCOTICS,POSSESS - CRACK,PARK PROPERTY,Y,N,1123,28.0,18,1153716,1900015,41.881478099,-87.71102217100001,"(41.881478099, -87.711022171)",27
26,JE177829,03/23/2021 04:55:00 PM,084XX S PULASKI RD,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESTAURANT,N,N,834,18.0,26,1151211,1848098,41.739059945,-87.721577528,"(41.739059945, -87.721577528)",70
27,JE177757,03/23/2021 06:50:00 PM,055XX S WOLCOTT AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,715,15.0,08A,1164634,1867867,41.793036433000005,-87.67184081100001,"(41.793036433, -87.671840811)",67
28,JE207630,04/23/2021 09:00:00 AM,037XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,212,4.0,08B,1182520,1880766,41.828035913,-87.605854908,"(41.828035913, -87.605854908)",36
29,JE225360,05/09/2021 08:00:00 PM,027XX N LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2524,35.0,08B,1151248,1917970,41.930797089,-87.71961292200001,"(41.930797089, -87.719612922)",22
30,JE182085,03/23/2021 06:00:00 PM,072XX S EVANS AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,323,6.0,06,1182476,1857221,41.763427455,-87.60674647,"(41.763427455, -87.60674647)",69
31,JE207397,04/23/2021 02:30:00 AM,075XX S STONY ISLAND AVE,0820,THEFT,$500 AND UNDER,HOSPITAL BUILDING / GROUNDS,N,N,411,8.0,06,1188234,1855158,41.757630995,-87.58570824899999,"(41.757630995, -87.585708249)",43
32,JE178382,03/23/2021 06:30:00 PM,087XX S NORMAL AVE,0810,THEFT,OVER $500,STREET,N,N,2223,21.0,06,1174494,1846985,41.735519886,-87.636305861,"(41.735519886, -87.636305861)",71
33,JE179003,03/23/2021 06:15:00 PM,033XX N CLARK ST,0810,THEFT,OVER $500,STREET,N,N,1924,44.0,06,1169344,1922483,41.942806264,-87.652982515,"(41.942806264, -87.652982515)",6
34,JE177801,03/23/2021 06:20:00 PM,088XX S EXCHANGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,423,10.0,08B,1197300,1846927,41.734823509,-87.552756858,"(41.734823509, -87.552756858)",46
35,JE177793,03/23/2021 07:20:00 PM,001XX N HOYNE AVE,0560,ASSAULT,SIMPLE,STREET,N,N,1223,27.0,08A,1162385,1901069,41.884193456,-87.679160417,"(41.884193456, -87.679160417)",28
36,JE177435,03/23/2021 02:28:00 PM,003XX S KILBOURN AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,Y,N,1131,28.0,18,1146440,1898174,41.87656785,-87.737786502,"(41.87656785, -87.737786502)",26
37,JE240319,05/23/2021 01:43:00 PM,033XX W MAYPOLE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,1123,28.0,11,1154131,1900784,41.883580046,-87.70947777200001,"(41.883580046, -87.709477772)",27
38,JE177572,03/23/2021 03:39:00 PM,073XX N HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2424,49.0,08B,1162688,1948495,42.014326545,-87.67671355200001,"(42.014326545, -87.676713552)",1
39,JE177706,03/23/2021 08:30:00 AM,078XX S ESSEX AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,N,N,421,7.0,17,1194222,1853393,41.752642802,-87.56382127,"(41.752642802, -87.56382127)",43
40,JE177130,03/23/2021 09:45:00 AM,008XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1121,27.0,06,1152896,1905326,41.896068297,-87.713892414,"(41.896068297, -87.713892414)",23
41,JE240418,05/23/2021 08:55:00 PM,041XX N MOZART ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1724,33.0,04B,1156641,1927312,41.956324525,-87.699540876,"(41.956324525, -87.699540876)",16
42,JE176870,03/22/2021 10:30:00 PM,0000X E WACKER DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,VEHICLE NON-COMMERCIAL,N,N,111,42.0,11,1176971,1902537,41.887904127,-87.62555494799999,"(41.887904127, -87.625554948)",32
43,JE208406,04/23/2021 10:00:00 PM,091XX S DANTE AVE,0460,BATTERY,SIMPLE,STREET,N,N,413,8.0,08B,1187379,1844667,41.728862995,-87.589174157,"(41.728862995, -87.589174157)",48
