CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE399359,10/05/2021 06:20:00 PM,018XX N CLYBOURN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1811,2,06,1169186,1911997,41.914035604,-87.653868654,"(41.914035604, -87.653868654)"
JE399478,10/05/2021 10:00:00 AM,0000X N LATROBE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1522,28,05,1141382,1899877,41.881335904,-87.756316052,"(41.881335904, -87.756316052)"
JE400496,10/05/2021 05:20:00 PM,078XX S RACINE AVE,0810,THEFT,OVER $500,CTA BUS STOP,N,N,612,17,06,1169688,1852582,41.750984287,-87.65375123,"(41.750984287, -87.65375123)"
JE326819,08/05/2021 09:00:00 AM,0000X E DELAWARE PL,0890,THEFT,FROM BUILDING,HOTEL / MOTEL,N,N,1833,42,06,1176404,1906631,41.899151086,-87.627513456,"(41.899151086, -87.627513456)"
JE319391,07/30/2021 04:32:00 AM,092XX S ELLIS AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,Y,Y,413,8,08B,1184500,1843887,41.726790404,-87.59974483,"(41.726790404, -87.59974483)"
JE327767,08/05/2021 11:22:00 PM,011XX E 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,N,N,511,8,05,1185662,1842221,41.722191459,-87.595540645,"(41.722191459, -87.595540645)"
JE400366,10/05/2021 05:00:00 PM,011XX W COLUMBIA AVE,0810,THEFT,OVER $500,STREET,N,N,2432,49,06,1167346,1944999,42.004634148,-87.659675307,"(42.004634148, -87.659675307)"
JE399097,10/05/2021 02:45:00 PM,016XX N KINGSBURY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,COMMERCIAL / BUSINESS OFFICE,N,N,1811,2,07,1168983,1911071,41.911499017,-87.654641356,"(41.911499017, -87.654641356)"
JE313326,07/24/2021 07:50:00 PM,019XX S LOOMIS ST,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1235,25,08A,1167341,1890749,41.855769424,-87.661258179,"(41.855769424, -87.661258179)"
JE366984,09/09/2021 09:27:00 AM,031XX S PRINCETON AVE,0560,ASSAULT,SIMPLE,STREET,N,N,915,11,08A,1174798,1884137,41.837462159,-87.63408518,"(41.837462159, -87.63408518)"
JE312026,07/24/2021 12:40:00 AM,027XX W FLOURNOY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,N,N,1135,28,15,1158296,1896923,41.872900989,-87.694289078,"(41.872900989, -87.694289078)"
JE312366,07/24/2021 11:18:00 AM,055XX W GLADYS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1522,29,06,1139490,1897792,41.875649089,-87.763314334,"(41.875649089, -87.763314334)"
JE368285,09/09/2021 12:00:00 AM,049XX W ST PAUL AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,2533,37,08A,1143075,1911181,41.912323979,-87.749817051,"(41.912323979, -87.749817051)"
