ind1, ind2,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
0,0,JF156487,12/01/2021 12:01:00 AM,056XX N SPAULDING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,1711,39,08A,,,41.89127066301132,-87.70875753031652,
1,17,JE413628,10/16/2021 04:00:00 AM,047XX S HAMLIN AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,821,14,06,,,,,
2,18,JF166915,03/07/2022 10:30:00 PM,032XX N NATOMA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,N,N,1632,36,14,,,41.9947066,-87.7918256,
3,19,JE281374,06/24/2021 05:27:00 PM,003XX N PEORIA,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,06,,,41.88241460068916,-87.64960657519143,
4,29,JE184972,03/29/2021 03:30:00 PM,056XX N SPAULDING AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1711,39,06,,,,,
5,45,JF172657,03/20/2021 12:00:00 PM,076XX S KINGSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,421,7,11,,,41.76226905,-87.56359404161134,
6,46,JE366565,09/05/2021 06:35:00 PM,014XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,N,N,1224,27,06,,,41.88455465538135,-87.63264442194983,
7,47,JE413551,10/16/2021 03:20:00 AM,036XX N TRIPP AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1731,45,06,,,41.946736038210595,-87.73387162702413,
8,55,JE480413,12/15/2021 09:45:00 AM,008XX W BELLE PLAINE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1915,46,11,,,,,
9,72,JE482850,12/13/2021 04:30:00 PM,018XX W CULLERTON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1234,25,06,,,41.85490279816966,-87.67144534825749,
10,73,JE270345,06/18/2021 09:37:00 AM,016XX S KARLOV AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1012,24,18,,,41.858160763934976,-87.72748780318854,
11,75,JE482845,12/11/2021 12:00:00 AM,033XX W LEXINGTON ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1134,24,06,,,,,
12,76,JE314735,07/26/2021 11:27:00 AM,033XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,Y,N,1121,27,18,,,41.896636,-87.637009,
13,77,JF137058,12/02/2021 11:00:00 PM,011XX N LA SALLE DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1824,27,26,,,,,
14,78,JE482856,11/06/2021 01:00:00 PM,005XX W ROSCOE ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1925,44,06,,,,,
15,80,JF155515,09/24/2021 09:00:00 AM,003XX E 118TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,532,9,11,,,,,
16,94,JF119931,12/17/2021 12:00:00 PM,057XX N MAJOR AVE,1120,DECEPTIVE PRACTICE,FORGERY,SIDEWALK,N,N,1622,45,10,,,,,
17,120,JF168357,03/07/2022 07:00:00 PM,039XX N CLAREMONT AVE,0810,THEFT,OVER $500,STREET,N,N,1921,47,06,,,41.952597227907184,-87.68710130714436,
18,125,JE249974,06/01/2021 01:29:00 PM,017XX W 18TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1234,25,04B,,,41.85766406263134,-87.66943255317463,
19,180,JE324339,08/03/2021 10:12:00 AM,027XX W FLOURNOY ST,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,ALLEY,Y,N,1135,28,18,,,41.87282026447538,-87.69398085815085,
20,411,JE445746,11/13/2021 09:30:00 AM,016XX W GRACE ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,1922,47,06,,,41.950712,-87.669738,
21,416,JE415382,10/16/2021 02:00:00 AM,010XX W DAKIN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,1923,46,11,,,41.953582,-87.655309,
22,591,JE353834,08/19/2021 03:15:00 PM,021XX N SOUTHPORT AVE,0810,THEFT,OVER $500,STREET,N,N,1811,2,06,,,41.9434189,-87.663886,
