,index,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
0,0,JF156487,12/01/2021 12:01:00 AM,056XX N SPAULDING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,1711,39,08A,,,,,
1,17,JE413628,10/16/2021 04:00:00 AM,047XX S HAMLIN AVE,0820,THEFT,$500 AND UNDER,ALLEY,N,N,821,14,06,,,,,
2,18,JF166915,03/07/2022 10:30:00 PM,032XX N NATOMA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,N,N,1632,36,14,,,,,
3,19,JE281374,06/24/2021 05:27:00 PM,003XX N PEORIA,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,06,,,,,
4,29,JE184972,03/29/2021 03:30:00 PM,056XX N SPAULDING AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1711,39,06,,,,,
5,45,JF172657,03/20/2021 12:00:00 PM,076XX S KINGSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,421,7,11,,,,,
6,46,JE366565,09/05/2021 06:35:00 PM,014XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,N,N,1224,27,06,,,,,
7,47,JE413551,10/16/2021 03:20:00 AM,036XX N TRIPP AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1731,45,06,,,,,
8,55,JE480413,12/15/2021 09:45:00 AM,008XX W BELLE PLAINE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1915,46,11,,,,,
9,72,JE482850,12/13/2021 04:30:00 PM,018XX W CULLERTON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1234,25,06,,,,,
10,73,JE270345,06/18/2021 09:37:00 AM,016XX S KARLOV AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1012,24,18,,,,,
11,75,JE482845,12/11/2021 12:00:00 AM,033XX W LEXINGTON ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1134,24,06,,,,,
12,76,JE314735,07/26/2021 11:27:00 AM,033XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,Y,N,1121,27,18,,,,,
13,77,JF137058,12/02/2021 11:00:00 PM,011XX N LA SALLE DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1824,27,26,,,,,
14,78,JE482856,11/06/2021 01:00:00 PM,005XX W ROSCOE ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1925,44,06,,,,,
15,80,JF155515,09/24/2021 09:00:00 AM,003XX E 118TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,532,9,11,,,,,
16,94,JF119931,12/17/2021 12:00:00 PM,057XX N MAJOR AVE,1120,DECEPTIVE PRACTICE,FORGERY,SIDEWALK,N,N,1622,45,10,,,,,
17,120,JF168357,03/07/2022 07:00:00 PM,039XX N CLAREMONT AVE,0810,THEFT,OVER $500,STREET,N,N,1921,47,06,,,,,
18,125,JE249974,06/01/2021 01:29:00 PM,017XX W 18TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1234,25,04B,,,,,
19,180,JE324339,08/03/2021 10:12:00 AM,027XX W FLOURNOY ST,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,ALLEY,Y,N,1135,28,18,,,,,
20,411,JE445746,11/13/2021 09:30:00 AM,016XX W GRACE ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,1922,47,06,,,,,
21,416,JE415382,10/16/2021 02:00:00 AM,010XX W DAKIN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,1923,46,11,,,,,
22,591,JE353834,08/19/2021 03:15:00 PM,021XX N SOUTHPORT AVE,0810,THEFT,OVER $500,STREET,N,N,1811,2,06,,,,,
23,592,JE365735,09/05/2021 11:30:00 PM,014XX S MUSEUM CAMPUS DR,0870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,N,N,132,4,06,,,,,
24,614,JE351825,08/23/2021 08:00:00 AM,013XX W CARMEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,2033,47,11,,,,,
25,646,JE412526,10/16/2021 08:05:00 PM,030XX W GUNNISON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1713,33,06,,,,,
26,1102,JE382835,09/18/2021 05:30:00 PM,006XX W Addison St,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1925,46,06,,,,,
27,1292,JE251923,06/02/2021 12:00:00 AM,0000X W OHIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,,,,,
28,1374,JE385255,09/17/2021 06:15:00 PM,040XX N FRANCISCO AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1724,33,06,,,,,
29,1435,JE433824,10/30/2021 12:11:00 PM,026XX N SPAULDING AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1412,35,06,,,,,
