public	taxi_trips	85 GB	91762679808
public	transportation_network_providers__trips	66 GB	70559047680
public	chicago_traffic_tracker__historical_congestion_estimates_by_seg	51 GB	54253068288
public	divvy_bicycle_stations__historical	42 GB	44951248896
public	divvy_trips	5651 MB	5925429248
public	smart_green_infrastructure_monitoring_sensors__historical	3776 MB	3959652352
public	dig_ticket_notifications	3538 MB	3710017536
public	table311_service_requests	2115 MB	2217680896
public	crimes__2001_to_present	1943 MB	2037325824
public	chicago_traffic_tracker__historical_congestion_estimates_by_reg	1379 MB	1445699584
public	building_violations	855 MB	896286720
public	transportation_department_permits	696 MB	730316800
public	transportation_network_providers__vehicles	658 MB	689848320
public	transportation_network_providers__drivers	546 MB	572186624
public	traffic_crashes__people	446 MB	467918848
public	building_permits	422 MB	442195968
public	business_licenses	382 MB	400515072
public	traffic_crashes__vehicles	376 MB	394289152
public	public_rightofway_use_permits__historical	362 MB	379863040
public	traffic_crashes__crashes	339 MB	355893248
public	ordinance_violations	331 MB	346931200
public	table311_service_requests__graffiti_removal__historical	269 MB	281960448
public	escooter_trips__2019_pilot	210 MB	219979776
public	food_inspections	205 MB	215351296
public	escooter_trips__2020	166 MB	174129152
public	arrests	165 MB	172744704
public	table311_service_requests__pot_holes_reported__historical	145 MB	152076288
public	red_light_camera_violations	133 MB	139870208
public	micromarket_recovery_program__violations_and_inspections	131 MB	137641984
public	cdph_environmental_inspections	130 MB	135987200
public	table311_service_requests__garbage_carts__historical	120 MB	126312448
public	table311_service_requests__street_lights__one_out__historical	117 MB	122437632
public	table311_service_requests__rodent_baiting__historical	89 MB	92987392
public	table311_service_requests__tree_trims__historical	83 MB	86769664
public	table311_service_requests__abandoned_vehicles	80 MB	83763200
public	strategic_subject_list__historical	78 MB	81346560
public	cta__ridership__l_station_entries__daily_totals	71 MB	74637312
public	table311_service_requests__street_lights__all_out__historical	70 MB	73383936
public	cdph_environmental_records_lookup_table	58 MB	60522496
public	table311_service_requests__alley_lights_out__historical	49 MB	51650560
public	speed_camera_violations	47 MB	49217536
public	cta__ridership__bus_routes__daily_totals_by_route	46 MB	48275456
public	crimes__one_year_prior_to_present	43 MB	45506560
public	contracts	43 MB	45473792
public	table311_service_requests__tree_debris__historical	42 MB	44204032
public	table311_service_requests__sanitation_code_complaints__historic	38 MB	39526400
public	payments	32 MB	33742848
public	cdph_asbestos_and_demolition_notification	32 MB	33464320
public	cdph_environmental_complaints	31 MB	32628736
public	violence_reduction__shotspotter_alerts	29 MB	30900224
public	energy_usage_2010	28 MB	28925952
public	cdph_environmental_permits	27 MB	28180480
public	business_owners	25 MB	26599424
public	beach_weather_stations__automated_sensors	24 MB	25362432
public	violence_reduction__victims_of_homicides_and_nonfatal_shootings	22 MB	22634496
public	chicago_park_district__event_permits	18 MB	19283968
public	micromarket_recovery_program__permits	17 MB	17743872
